source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
5.11186E+17,26.75911809,0.145159169,60.94149968,0.169154627,0.213929311,0.233092845,18.863049,2.499609,,,NOT_AVAILABLE,,
5.11185E+17,26.38267082,0.030077451,60.98004748,0.036778882,1.065483746,0.05481,16.414276,1.4919081,,,NOT_AVAILABLE,4444,0.8445
5.11184E+17,26.45566725,0.243347058,60.93467841,0.284678488,0.352357554,0.395480587,19.830776,1.8492756,,,NOT_AVAILABLE,,
5.11189E+17,26.71282395,0.049216814,61.05334852,0.056323392,1.08522859,0.084026659,16.267359,,,,NOT_AVAILABLE,,
5.11186E+17,26.63539122,0.437103037,60.93297156,0.496262038,0.416670795,0.715984257,20.513988,1.530695,,,NOT_AVAILABLE,,
5.11188E+17,26.83774091,0.287662837,61.01330872,0.330167923,-0.574859621,0.483258803,19.977318,1.9744663,,,NOT_AVAILABLE,,
5.11188E+17,26.8869853,0.044408186,60.99277887,0.055704834,0.29215603,0.075777632,17.116495,1.3599796,,,NOT_AVAILABLE,,
5.1119E+17,26.57611709,0.148430648,61.02633005,0.155548343,0.283460753,0.214706548,18.893711,1.6117706,,,NOT_AVAILABLE,,
5.11189E+17,26.71706784,0.329076167,61.0231185,0.387594564,1.05934554,0.511268352,20.091358,1.8530769,,,NOT_AVAILABLE,,
5.11188E+17,26.86764592,0.03412869,61.00912606,0.041682136,0.316109912,0.058348162,16.553904,1.9455271,,,NOT_AVAILABLE,3910,
5.11184E+17,26.33989295,0.23787688,60.93216723,0.264359816,-0.364374335,0.37872384,19.849398,2.0817337,,,NOT_AVAILABLE,,
5.1119E+17,26.55583627,0.332369355,61.04187736,0.361402191,-0.257844071,0.521613614,20.195784,1.7991562,,,NOT_AVAILABLE,,
5.11191E+17,26.47768933,0.017095525,61.02035398,0.019984703,0.969745994,0.02983152,12.615755,0.8667669,,,NOT_AVAILABLE,5732.467,0.804
5.11188E+17,26.84405053,1.429357232,61.01143444,1.09448681,1.414708209,1.710820409,20.945274,1.4994316,,,NOT_AVAILABLE,,
5.11188E+17,26.83347276,0.053361692,60.96750404,0.063755261,0.33485916,0.084458717,17.261507,1.5306091,,,NOT_AVAILABLE,,
5.11189E+17,26.7568823,0.635511175,61.02328971,0.679465517,1.925386342,0.84717886,20.639227,1.4910641,,,NOT_AVAILABLE,,
5.11191E+17,26.48802309,0.167105947,61.06010661,0.172330321,-0.007695974,0.23822599,19.072483,1.6038074,,,NOT_AVAILABLE,,
5.11191E+17,26.50614354,0.164507834,61.02550167,0.177431963,0.428512602,0.246499649,19.135536,1.6842728,,,NOT_AVAILABLE,,
5.11187E+17,26.86744111,0.039417609,60.96661751,0.049249518,0.467023934,0.066108441,16.959724,1.5669594,,,NOT_AVAILABLE,4328.686,2.033
5.11202E+17,27.15213735,0.261850912,61.15760444,0.312021854,0.854904297,0.497920087,20.07174,1.8402214,,,NOT_AVAILABLE,,
5.11189E+17,26.75846697,0.828370664,61.02318231,0.724058599,0.457032024,1.216710302,20.794615,1.5602283,,,NOT_AVAILABLE,,
5.11193E+17,26.60726763,0.052644469,61.13444457,0.05772481,0.19503621,0.077852994,17.190804,1.4677315,,,NOT_AVAILABLE,,
5.1119E+17,26.5227707,0.062342589,61.0054343,0.071552596,0.476177287,0.108414862,17.682789,1.7958717,,,NOT_AVAILABLE,,
5.11208E+17,27.17351355,0.361811188,61.21279687,0.330546058,-0.081755081,0.45700661,17.68483,,,,NOT_AVAILABLE,,
5.1119E+17,26.54708905,0.313724787,61.03505962,0.333492098,0.62539643,0.460255356,20.054157,1.8687954,,,NOT_AVAILABLE,,
5.11187E+17,26.6555291,0.015845359,60.97419429,0.020095179,0.296185065,0.02778062,15.097489,1.169714,,,NOT_AVAILABLE,4922,
5.11189E+17,26.66220088,0.588592806,60.99945061,0.588487809,-0.45731578,0.840876788,20.695139,1.4754047,,,NOT_AVAILABLE,,
5.11191E+17,26.4474147,0.040836922,61.02330442,0.047469297,0.363419794,0.070763977,17.031204,1.3754749,,,NOT_AVAILABLE,4610,1.5685
5.11186E+17,26.58181762,0.616750556,60.90899749,0.720752831,-0.716058329,0.927506977,20.748535,1.4574146,,,NOT_AVAILABLE,,
5.11193E+17,26.57437583,0.109402025,61.09112672,0.111301233,0.052674208,0.159068495,18.342094,1.8227711,,,NOT_AVAILABLE,,
5.11176E+17,26.92224147,0.155890923,60.97082927,0.189818093,0.409062063,0.249626727,19.186865,1.8320599,,,NOT_AVAILABLE,,
5.11192E+17,26.60107742,0.130927048,61.06542134,0.130647159,0.37337815,0.194240934,18.644508,1.6851101,,,NOT_AVAILABLE,,
5.112E+17,26.99493443,0.131244368,61.03154472,0.153653906,0.267795307,0.207534621,18.822887,1.7014198,,,NOT_AVAILABLE,,
5.11188E+17,26.77291031,0.212337635,60.97223652,0.24792737,-0.506618849,0.333164381,19.669586,1.8512783,,,NOT_AVAILABLE,,
5.11208E+17,27.13528032,0.297690329,61.20864421,0.340663157,0.378526729,0.557222553,19.992182,2.0283318,,,NOT_AVAILABLE,,
5.1119E+17,26.52338397,0.106328579,60.97690427,0.113345523,0.15356756,0.168514693,18.526981,1.6782341,,,NOT_AVAILABLE,,
5.11188E+17,26.88309169,0.017308217,60.99415225,0.02143863,0.654843922,0.027906308,15.158162,1.3891973,,,NOT_AVAILABLE,4649.3765,
5.11193E+17,26.609108,0.345932271,61.14692088,0.353995089,-0.12389421,0.526802551,20.163256,2.0428982,,,NOT_AVAILABLE,,
5.11188E+17,26.8130437,0.391270525,60.98193877,0.419198313,0.64076129,0.595009637,20.187325,1.4268494,,,NOT_AVAILABLE,,
5.1119E+17,26.50186318,0.36456507,60.97792465,0.434507563,-0.725693994,0.612627624,20.12733,,,,NOT_AVAILABLE,,
5.11185E+17,26.43650998,0.356123802,60.94735861,0.385637067,2.132425698,0.515599855,20.266666,1.6100006,,,NOT_AVAILABLE,,
5.112E+17,26.97822451,0.499336127,61.01365042,0.603831512,1.073116694,0.860497585,20.553553,1.9468994,,,NOT_AVAILABLE,,
5.11176E+17,26.9095488,0.287493093,60.95734056,0.329647916,-0.081706595,0.438064848,19.863138,1.6664581,,,NOT_AVAILABLE,,
5.11187E+17,26.85502686,0.546801338,60.95854184,0.649055217,1.28928985,0.78893079,20.534626,1.7625656,,,NOT_AVAILABLE,,
5.11202E+17,27.07112408,0.01266438,61.10560193,0.015179008,1.382350522,0.021918896,14.06638,1.1663857,,,NOT_AVAILABLE,4926,0.765
5.11187E+17,26.85639766,0.036278549,60.96815751,0.04512533,0.271377559,0.060567889,16.84369,1.6407709,,,NOT_AVAILABLE,4211.25,
5.11192E+17,26.68368468,0.451346882,61.05400019,0.440722894,-0.42771913,0.555403552,20.251055,1.669735,,,NOT_AVAILABLE,,
5.112E+17,27.08486028,0.047745822,61.06449173,0.056703034,0.314853561,0.085219088,17.440554,1.4884968,,,NOT_AVAILABLE,,
5.11188E+17,26.87048107,0.153716629,61.01857806,0.174924404,0.364055379,0.227366951,19.027903,1.8411045,,,NOT_AVAILABLE,,
5.11191E+17,26.50816664,0.72470687,61.02452142,0.65307166,-1.50520853,0.909939418,20.781574,1.2729282,,,NOT_AVAILABLE,,
5.11193E+17,26.55623218,0.157493983,61.06551902,0.168521354,1.587562309,0.249186985,19.079138,2.6190968,,,NOT_AVAILABLE,,
5.11189E+17,26.75962434,0.105320146,61.04675852,0.122483659,0.29362107,0.152762989,18.220541,2.0382385,,,NOT_AVAILABLE,,
5.11202E+17,27.15792238,0.372797509,61.15037677,0.429951937,-1.565526897,0.716681734,20.365402,1.8119106,,,NOT_AVAILABLE,,
5.11185E+17,26.390477,0.278439979,60.96169959,0.314131374,1.584176926,0.44878335,19.946487,2.5843525,,,NOT_AVAILABLE,,
5.11191E+17,26.43775458,0.214794898,61.05956316,0.237584984,-0.168171375,0.357422623,19.608633,1.7106819,,,NOT_AVAILABLE,,
5.11191E+17,26.49710741,0.175087835,60.99221327,0.197361227,0.451014968,0.276544026,19.392271,2.013321,,,NOT_AVAILABLE,,
5.11193E+17,26.49458466,0.901850488,61.08395894,0.82079284,0.491733702,1.142075572,20.763115,1.3790607,,,NOT_AVAILABLE,,
5.112E+17,27.07325432,0.135222237,61.03185115,0.149699381,0.161192412,0.223751947,18.952082,1.8110542,,,NOT_AVAILABLE,,
5.11188E+17,26.88285769,0.563457989,61.01138533,0.62151041,1.402264813,0.893331714,20.615952,2.0929317,,,NOT_AVAILABLE,,
5.11191E+17,26.4698503,0.099918398,61.00483972,0.105837798,0.724296451,0.15303347,18.41517,1.878212,,,NOT_AVAILABLE,,
5.11188E+17,26.84245322,0.435336611,61.01467408,0.446849133,0.26600411,0.615011871,20.35075,1.893837,,,NOT_AVAILABLE,,
5.112E+17,27.02983805,0.166288458,61.02565178,0.204256382,0.288684271,0.286831538,19.167185,1.8655224,,,NOT_AVAILABLE,,
5.11192E+17,26.70229857,0.305023891,61.07196871,0.341161456,0.140747573,0.46019273,19.962288,1.9548359,,,NOT_AVAILABLE,,
5.11185E+17,26.36333463,0.013279975,60.98274381,0.014874788,0.302889084,0.021315435,13.99335,0.7541218,,,NOT_AVAILABLE,5906.6665,
5.11192E+17,26.68155045,0.859320843,61.10170685,0.75243751,3.922701741,1.022101186,20.738022,1.4695225,,,NOT_AVAILABLE,,
5.11192E+17,26.60783707,0.434326792,61.10063051,0.415307578,-1.06470076,0.590976506,20.189064,1.6812782,,,NOT_AVAILABLE,,
5.11209E+17,27.1983632,0.575984077,61.22630485,0.604033429,-1.264630951,1.040738575,20.616549,1.8301067,,,NOT_AVAILABLE,,
5.11191E+17,26.44758489,0.406495255,60.99969304,0.426396018,0.578446064,0.576532226,20.18591,1.5406609,,,NOT_AVAILABLE,,
5.11202E+17,27.04325386,0.041041528,61.10410027,0.049581025,0.568852671,0.072160977,16.975443,1.7431068,,,NOT_AVAILABLE,4198,
5.11189E+17,26.74070848,0.043270954,61.01789976,0.052681365,0.045272562,0.073868702,16.894003,2.3857927,,,NOT_AVAILABLE,3860.46,1.747
5.11202E+17,27.15838751,0.198523999,61.14909978,0.231517325,-0.658208843,0.375830838,19.629347,2.0564442,,,NOT_AVAILABLE,,
5.11192E+17,26.65687807,0.090067344,61.0284353,0.098710152,0.47486189,0.141069472,18.297567,1.7265434,,,NOT_AVAILABLE,,
5.11188E+17,26.88285486,0.414409405,61.01204026,0.451595541,0.165129127,0.626939197,20.358242,1.711895,,,NOT_AVAILABLE,,
5.11202E+17,27.10876202,0.20960616,61.15754644,0.249189173,0.472855012,0.381547731,19.601488,2.0424652,,,NOT_AVAILABLE,,
5.11193E+17,26.56051175,0.156280074,61.12855113,0.174105112,0.771856183,0.248620684,18.718882,1.803091,,,NOT_AVAILABLE,,
